Departamento,Año,Área Cos‎.‎(‎Hectáreas‎)‎,Producción ‎(‎Toneladas‎)‎,Rendimiento‎ (‎Ton‎/‎ha)‎,Participación Producción Nacional (%),Participación Área Cos. Nacional (%)
Vichada                                           ,2014,"2.000,00 ","6.220,00 ","6,22 ","0,46 ","0,46 "
Córdoba                                           ,2014,"630,00 ","1.989,00 ","6,31 ","0,15 ","0,15 "
Arauca                                            ,2014,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
Chocó                                             ,2014,"672,00 ","1.344,00 ","4,00 ","0,10 ","0,16 "
Sucre                                             ,2014,"840,00 ","1.512,00 ","3,60 ","0,11 ","0,19 "
Norte de Santander                                ,2014,"42.958,00 ","127.243,20 ","5,92 ","9,37 ","9,94 "
Atlántico                                         ,2014,"440,00 ","1.320,00 ","6,00 ","0,10 ","0,10 "
Arauca                                            ,2015,"0,00 ","0,00 ","0,00 ","0,00 ","0,00 "
Santander                                         ,2015,"150.762,80 ","446.642,10 ","5,93 ","29,39 ","31,36 "
Meta                                              ,2015,"306.108,00 ","1.018.095,64 ","6,65 ","66,99 ","63,68 "
La Guajira                                        ,2015,"3.342,00 ","12.885,92 ","7,71 ","0,85 ","0,70 "
Bolívar                                           ,2015,"62.026,00 ","191.937,40 ","6,19 ","12,63 ","12,90 "
Cesar                                             ,2015,"129.611,00 ","413.621,82 ","6,38 ","27,22 ","26,96 "
Antioquia                                         ,2015,"3.678,00 ","12.742,82 ","6,93 ","0,84 ","0,77 "
Norte de Santander                                ,2015,"56.000,00 ","164.082,00 ","5,86 ","10,80 ","11,65 "
Sucre                                             ,2015,"940,00 ","2.310,00 ","4,91 ","0,15 ","0,20 "
Nariño                                            ,2015,"28.972,00 ","29.936,00 ","2,07 ","1,97 ","6,03 "
Otros Departamentos                               ,2015,"2.000,00 ","6.200,00 ","6,20 ","0,41 ","0,42 "
Casanare                                          ,2015,"119.846,00 ","425.015,50 ","7,09 ","27,96 ","24,93 "
Cauca                                             ,2015,"1.248,00 ","1.946,88 ","3,12 ","0,13 ","0,26 "
Atlántico                                         ,2015,"440,00 ","1.540,00 ","7,00 ","0,10 ","0,09 "
Córdoba                                           ,2015,"1.060,00 ","3.764,80 ","7,10 ","0,25 ","0,22 "
Chocó                                             ,2015,"652,00 ","1.437,26 ","4,41 ","0,09 ","0,14 "
Vichada                                           ,2015,"2.000,00 ","6.200,00 ","6,20 ","0,41 ","0,42 "
Caquetá                                           ,2015,"720,00 ","1.080,00 ","3,00 ","0,07 ","0,15 "
Magdalena                                         ,2015,"81.448,00 ","263.573,58 ","6,47 ","17,34 ","16,94 "
Tolima                                            ,2015,"128,00 ","340,48 ","5,32 ","0,02 ","0,03 "
Cundinamarca                                      ,2015,"10.472,00 ","36.285,48 ","6,93 ","2,39 ","2,18 "
