Departamento,Año,Área Cos‎.‎(‎Hectáreas‎)‎,Producción ‎(‎Toneladas‎)‎,Rendimiento‎ (‎Ton‎/‎ha)‎,Participación Producción Nacional (%),Participación Área Cos. Nacional (%)
Vichada                                           ,2008,"90,00 ","32,60 ","0,36 ","0,06 ","0,08 "
Antioquia                                         ,2009,"8.081,60 ","3.808,10 ","0,47 ","6,51 ","7,38 "
Arauca                                            ,2009,"11.364,00 ","7.826,80 ","0,69 ","13,37 ","10,38 "
Bolívar                                           ,2009,"2.888,00 ","839,00 ","0,29 ","1,43 ","2,64 "
Boyacá                                            ,2009,"1.870,00 ","1.131,00 ","0,60 ","1,93 ","1,71 "
Caldas                                            ,2009,"1.354,70 ","751,34 ","0,55 ","1,28 ","1,24 "
Caquetá                                           ,2009,"284,00 ","140,18 ","0,49 ","0,24 ","0,26 "
Casanare                                          ,2009,"265,00 ","91,30 ","0,34 ","0,16 ","0,24 "
Cauca                                             ,2009,"436,74 ","202,06 ","0,46 ","0,35 ","0,40 "
Cesar                                             ,2009,"5.984,00 ","3.538,60 ","0,59 ","6,05 ","5,47 "
Chocó                                             ,2009,"974,75 ","305,37 ","0,31 ","0,52 ","0,89 "
Córdoba                                           ,2009,"505,50 ","311,52 ","0,62 ","0,53 ","0,46 "
Cundinamarca                                      ,2009,"2.588,50 ","1.601,20 ","0,62 ","2,74 ","2,37 "
Guainía                                           ,2009,"54,00 ","13,50 ","0,25 ","0,02 ","0,05 "
Guaviare                                          ,2009,"20,00 ","25,00 ","1,25 ","0,04 ","0,02 "
